supported_languages,count
English,11672
German,5728
French,5550
Spanish - Spain,5128
Russian,4614
Simplified Chinese,4461
Italian,4102
Japanese,3986
Portuguese - Brazil,2774
Korean,2683
Traditional Chinese,2490
Polish,2469
Turkish,1121
Portuguese,909
Dutch,896
Spanish - Latin America,814
Czech,773
Hungarian,551
Swedish,490
Ukrainian,451
Arabic,381
Danish,378
Thai,336
Norwegian,326
Finnish,322
Romanian,206
Greek,187
Vietnamese,136
Bulgarian,132
Portuguese - Portugal,90
Indonesian,24
Croatian,9
Hindi,6
Catalan,5
Hebrew,4
Serbian,4
English[b][/b],3
Slovak,3
Lithuanian,2
German;,2
Macedonian,2
"English
Russian
Spanish - Spain
Japanese
Czech",1
"Russian
English
Spanish - Spain
French
Japanese
Czech",1
Traditional Chinese (text only),1
"Italian 

[b][/b]",1
English (full audio),1
"Russian
[b][/b]",1
German[b][/b],1
"Spanish - Spain
[b][/b]",1
Slovakian,1
Filipino,1
Belarusian,1
Estonian,1
#lang_français,1
Georgian,1
Persian,1
Kazakh,1
Icelandic,1
Malay,1
Welsh,1
